,average_rating
1439,6.276330000000001
1449,6.83663
1452,6.55392
1461,7.84674
1464,6.931439999999999
1474,6.49083
1478,6.49315
1486,7.505910000000001
1487,6.39548
1490,6.81221
1492,7.24028
1497,7.398610000000001
1500,7.0526800000000005
1517,6.45447
1527,6.802919999999999
1535,7.18456
1538,6.92231
1556,6.7678899999999995
1558,6.61998
1561,6.41253
1563,6.52725
1581,7.00323
1588,7.32437
1611,7.5350399999999995
1617,7.4812
1631,6.53835
1640,6.44612
1665,7.9335
1667,6.7547
1669,6.30093
1670,6.609030000000001
1671,6.91918
1677,6.81042
1678,6.44139
1679,7.235289999999999
1680,8.364510000000001
1688,6.36643
1694,6.38769
1695,6.960030000000001
1696,6.8955
1701,8.082289999999999
1706,6.32348
1707,6.667000000000001
1708,7.280660000000001
1712,6.42191
1713,6.6399
1717,6.51872
1719,6.43192
1721,6.5054099999999995
1722,6.750539999999999
1724,6.374969999999999
1725,6.64623
1734,6.89716
1738,7.0212
1741,6.35778
1742,7.33772
1744,6.93575
1750,6.3009699999999995
1752,6.79013
1754,6.435
1769,6.4189
1775,6.98272
1779,6.7526
1787,6.2827
1793,6.24833
1795,6.276590000000001
1799,6.20934
1805,8.11957
1811,8.43944
1819,7.898289999999999
1835,7.8099
1836,7.82949
1838,7.841060000000001
1844,7.735189999999999
1845,7.73993
1846,8.0381
1861,7.633830000000001
1864,7.771610000000001
1867,7.61025
1870,7.705310000000001
1871,7.836110000000001
1872,7.646439999999999
1876,7.6041300000000005
1877,7.60025
1887,7.529089999999999
1888,7.54537
1895,7.47502
1904,7.5832
1908,7.44251
1914,7.49085
1919,7.55852
1931,7.436610000000001
1938,7.46396
1940,7.41705
1943,7.35745
1948,7.49275
1951,7.45817
1964,7.54569
1965,7.343030000000001
1979,7.7302800000000005
1983,7.31527
1985,7.486219999999999
1992,7.351380000000001
1997,7.26048
2003,8.145539999999999
2013,7.4618
2022,7.81814
2033,7.51992
2035,7.55235
2044,7.28685
2049,7.43355
2059,7.662610000000001
2062,7.122000000000001
2068,7.33484
2092,7.272469999999999
2094,7.61872
2099,8.26319
2118,7.179410000000001
2121,7.329680000000001
2125,7.5792600000000006
2129,7.282939999999999
2147,7.14682
2149,7.076280000000001
2160,7.50254
2163,7.33718
2174,7.11619
2176,7.33608
2177,7.087339999999999
2178,6.984610000000001
2179,7.28222
2180,7.08294
2184,7.0097
2189,7.38192
2190,7.1581399999999995
2191,8.20931
2197,7.66918
2221,7.16573
2225,7.0803
2228,7.426839999999999
2231,7.2479
2233,7.01203
2239,6.99586
2240,7.15137
2244,7.0244800000000005
2249,7.8890199999999995
2258,8.219610000000001
2268,7.835189999999999
2269,7.032789999999999
2276,6.82349
2281,7.04754
2283,7.7286399999999995
2287,7.60238
2291,7.0932699999999995
2297,6.966069999999999
2309,7.10842
2317,6.84115
2318,7.328460000000001
2324,7.03913
2325,6.89169
2326,7.37633
2335,6.87563
2337,7.19521
2341,7.167839999999999
2342,6.881189999999999
2345,6.8246199999999995
2365,6.9206199999999995
2374,7.69698
2375,7.29948
2379,7.49995
2381,7.42254
2383,7.0182899999999995
2386,6.8651100000000005
2405,7.68465
2409,6.8679
2412,7.58661
2421,7.4624
2424,7.22647
2426,7.792889999999999
2431,7.348510000000001
2433,7.089339999999999
