,0
293,6.684505749833319
294,6.338811110000018
295,6.564170360000043
296,7.20430703999998
297,7.132417039999964
298,7.398987110000052
299,7.528675741000041
300,6.552583489999967
301,6.426232858666696
302,7.814111816000048
303,6.77015211999998
304,6.368084435999993
305,6.604158030000028
306,7.0943828999999825
307,6.383152645999996
308,6.294631178666649
309,7.208159660000032
310,7.9252487599999855
311,6.507627427333353
312,6.831701196000007
313,6.711628360000029
314,6.862132160000037
315,8.024606603333277
316,6.321838400000007
317,6.721319363999963
318,7.217184796666625
319,6.42521521485716
320,6.631919120000012
321,6.524404640000018
322,6.306249402333335
323,6.466219323000047
324,6.750116660571429
325,6.445548257142836
326,6.499363701904735
327,6.8537148199999836
328,6.8411302550000155
329,6.3775493599999775
330,7.038750506666652
331,7.002896520000045
332,6.367100615999956
333,6.770095499999978
334,6.412640773333314
335,6.368286195000001
336,6.868255179999981
337,6.788177217333292
338,6.25738956000004
339,6.388582139285678
340,6.275122799999985
341,6.292993224000002
342,8.086840973333292
343,8.209195934666718
344,7.857740453333367
345,7.837930080000062
346,7.7919089400000425
347,7.797744832000062
348,7.676848421547591
349,7.73935791400005
350,7.868853494571487
351,7.615500461333329
352,7.564696039036042
353,7.538220580000039
354,7.548116806666638
355,7.76788915565084
356,7.692227139999994
357,7.606814578500039
358,7.545033779999991
359,7.490608372357135
360,7.429736082999953
361,7.431531145999975
362,7.5658278510000265
363,7.389372119999969
364,7.711771533333352
365,7.488150341428594
366,7.435163542333381
367,7.546951984992084
368,7.582684673333334
369,7.374451809999987
370,7.626339683333331
371,7.5091982756666535
372,7.351032303333304
373,7.391514493333329
374,7.765237620000068
375,7.302810945000028
376,7.305864219999922
377,7.366006278857165
378,7.308651919999963
379,7.965085083999996
380,7.597083780000033
381,7.5654772799999535
382,7.433538673333382
383,7.3201243266666305
384,7.227161133571406
385,7.487768792000052
386,7.5895985933332994
387,7.220395759999971
388,7.313244500999999
389,7.191992629999991
390,7.347194399999979
391,8.139329720000017
